sensor	oversampling	sec	temperature	pressure
HP206C	1024	0.0	22.71	1003.57
HP206C	1024	0.036	22.79	1003.75
HP206C	1024	0.072	22.83	1003.73
HP206C	1024	0.108	22.85	1003.76
HP206C	1024	0.144	22.86	1003.83
HP206C	1024	0.18	22.87	1003.8
HP206C	1024	0.215	22.88	1003.9
HP206C	1024	0.251	22.88	1003.91
HP206C	1024	0.287	22.89	1003.85
HP206C	1024	0.323	22.89	1004.0
HP206C	1024	0.359	22.89	1003.79
HP206C	1024	0.395	22.9	1003.96
HP206C	1024	0.431	22.9	1003.93
HP206C	1024	0.467	22.91	1003.94
HP206C	1024	0.503	22.91	1003.89
HP206C	1024	0.538	22.91	1003.97
HP206C	1024	0.575	22.91	1003.91
HP206C	1024	0.611	22.91	1003.95
HP206C	1024	0.647	22.92	1004.01
HP206C	1024	0.683	22.92	1003.85
HP206C	1024	0.719	22.92	1003.8
HP206C	1024	0.755	22.92	1003.76
HP206C	1024	0.791	22.92	1003.91
HP206C	1024	0.827	22.92	1003.9
HP206C	1024	0.862	22.92	1003.94
HP206C	1024	0.898	22.92	1003.83
HP206C	1024	0.934	22.93	1003.78
HP206C	1024	0.97	22.93	1003.79
HP206C	1024	1.006	22.93	1003.85
HP206C	1024	1.042	22.92	1003.81
HP206C	1024	1.077	22.92	1003.87
HP206C	1024	1.113	22.93	1003.91
HP206C	1024	1.149	22.93	1003.96
HP206C	1024	1.185	22.93	1003.91
HP206C	1024	1.221	22.93	1003.91
HP206C	1024	1.257	22.93	1003.96
HP206C	1024	1.292	22.93	1003.83
HP206C	1024	1.328	22.94	1003.87
HP206C	1024	1.364	22.94	1003.92
HP206C	1024	1.4	22.93	1003.76
HP206C	1024	1.436	22.93	1003.94
HP206C	1024	1.472	22.94	1003.81
HP206C	1024	1.507	22.94	1003.93
HP206C	1024	1.543	22.94	1003.98
HP206C	1024	1.579	22.94	1003.97
HP206C	1024	1.615	22.94	1003.84
HP206C	1024	1.651	22.94	1003.91
HP206C	1024	1.687	22.94	1003.98
HP206C	1024	1.722	22.95	1004.08
HP206C	1024	1.758	22.94	1003.8
HP206C	1024	1.794	22.94	1003.97
HP206C	1024	1.83	22.95	1003.89
HP206C	1024	1.866	22.94	1003.75
HP206C	1024	1.902	22.95	1003.86
HP206C	1024	1.938	22.95	1003.91
HP206C	1024	1.974	22.95	1003.84
HP206C	1024	2.009	22.95	1003.9
HP206C	1024	2.045	22.94	1003.83
HP206C	1024	2.081	22.95	1003.86
HP206C	1024	2.117	22.95	1003.79
HP206C	1024	2.153	22.94	1003.85
HP206C	1024	2.188	22.95	1003.94
HP206C	1024	2.224	22.95	1003.95
HP206C	1024	2.26	22.94	1003.74
HP206C	1024	2.296	22.95	1003.91
HP206C	1024	2.332	22.95	1003.79
HP206C	1024	2.368	22.95	1003.84
