sensor	oversampling	sec	temperature	pressure
HP206C	2048	0.0	22.76	1003.62
HP206C	2048	0.069	22.85	1003.73
HP206C	2048	0.138	22.89	1003.9
HP206C	2048	0.206	22.9	1003.9
HP206C	2048	0.275	22.92	1003.86
HP206C	2048	0.344	22.93	1003.85
HP206C	2048	0.412	22.94	1003.87
HP206C	2048	0.481	22.94	1003.85
HP206C	2048	0.55	22.94	1003.92
HP206C	2048	0.618	22.94	1003.88
HP206C	2048	0.687	22.95	1003.97
HP206C	2048	0.756	22.95	1003.84
HP206C	2048	0.825	22.96	1003.86
HP206C	2048	0.893	22.96	1003.88
HP206C	2048	0.962	22.96	1003.99
HP206C	2048	1.03	22.96	1003.92
HP206C	2048	1.099	22.96	1003.92
HP206C	2048	1.168	22.96	1003.94
HP206C	2048	1.236	22.96	1003.85
HP206C	2048	1.305	22.96	1003.9
HP206C	2048	1.374	22.96	1003.87
HP206C	2048	1.442	22.96	1003.85
HP206C	2048	1.511	22.96	1003.95
HP206C	2048	1.58	22.97	1003.89
HP206C	2048	1.648	22.97	1003.91
HP206C	2048	1.717	22.97	1003.88
HP206C	2048	1.786	22.98	1003.9
HP206C	2048	1.854	22.97	1003.87
HP206C	2048	1.923	22.97	1003.94
HP206C	2048	1.992	22.98	1003.89
HP206C	2048	2.061	22.98	1003.96
HP206C	2048	2.129	22.98	1003.89
HP206C	2048	2.198	22.98	1003.88
HP206C	2048	2.267	22.98	1003.87
HP206C	2048	2.335	22.98	1003.85
HP206C	2048	2.404	22.98	1003.85
HP206C	2048	2.473	22.98	1003.9
HP206C	2048	2.541	22.98	1003.82
HP206C	2048	2.61	22.99	1003.87
HP206C	2048	2.679	22.98	1003.82
HP206C	2048	2.747	22.99	1003.83
HP206C	2048	2.816	22.99	1003.86
HP206C	2048	2.885	22.99	1003.92
HP206C	2048	2.953	22.99	1003.92
HP206C	2048	3.022	22.99	1004.03
HP206C	2048	3.091	22.99	1003.9
HP206C	2048	3.159	22.99	1003.87
HP206C	2048	3.228	22.99	1003.79
HP206C	2048	3.297	22.99	1003.96
HP206C	2048	3.365	22.99	1003.98
HP206C	2048	3.434	23.0	1003.94
HP206C	2048	3.503	23.0	1003.89
HP206C	2048	3.571	22.99	1003.91
HP206C	2048	3.64	23.0	1003.91
HP206C	2048	3.708	23.0	1003.89
HP206C	2048	3.777	23.0	1003.89
HP206C	2048	3.846	23.0	1003.94
HP206C	2048	3.915	22.99	1003.96
HP206C	2048	3.983	23.0	1003.84
HP206C	2048	4.052	23.0	1003.84
HP206C	2048	4.121	23.0	1003.81
HP206C	2048	4.189	23.0	1003.86
