sensor	oversampling	sec	temperature	pressure
HP206C	4096	0.0	22.83	1003.7
HP206C	4096	0.135	22.92	1003.86
HP206C	4096	0.269	22.94	1003.86
HP206C	4096	0.403	22.96	1003.89
HP206C	4096	0.538	22.97	1003.91
HP206C	4096	0.672	22.97	1003.95
HP206C	4096	0.806	22.98	1003.93
HP206C	4096	0.941	22.98	1003.9
HP206C	4096	1.075	22.98	1003.82
HP206C	4096	1.21	22.99	1003.9
HP206C	4096	1.344	22.99	1003.84
HP206C	4096	1.478	22.99	1003.93
HP206C	4096	1.613	23.0	1003.86
HP206C	4096	1.747	23.0	1003.88
HP206C	4096	1.881	23.0	1003.92
HP206C	4096	2.016	23.0	1003.89
HP206C	4096	2.15	23.0	1003.81
HP206C	4096	2.284	23.01	1003.85
HP206C	4096	2.419	23.01	1003.87
HP206C	4096	2.553	23.01	1003.9
HP206C	4096	2.687	23.01	1003.86
HP206C	4096	2.822	23.02	1003.87
HP206C	4096	2.956	23.02	1003.92
HP206C	4096	3.09	23.02	1003.92
HP206C	4096	3.225	23.02	1003.99
HP206C	4096	3.359	23.02	1003.92
HP206C	4096	3.493	23.03	1003.86
HP206C	4096	3.628	23.02	1003.85
HP206C	4096	3.762	23.02	1003.88
HP206C	4096	3.896	23.03	1003.89
HP206C	4096	4.031	23.03	1003.89
HP206C	4096	4.165	23.03	1003.91
HP206C	4096	4.3	23.03	1003.98
HP206C	4096	4.434	23.03	1003.97
HP206C	4096	4.568	23.04	1003.96
HP206C	4096	4.703	23.04	1003.93
HP206C	4096	4.837	23.04	1003.94
HP206C	4096	4.972	23.04	1003.84
MS5803_01BA	4096	0.0	23.01	1011.07
MS5803_01BA	4096	0.022	23.01	1011.05
MS5803_01BA	4096	0.043	23.02	1011.02
MS5803_01BA	4096	0.065	23.03	1011.02
MS5803_01BA	4096	0.087	23.04	1011.01
MS5803_01BA	4096	0.108	23.04	1011.0
MS5803_01BA	4096	0.13	23.05	1011.02
MS5803_01BA	4096	0.151	23.06	1011.02
MS5803_01BA	4096	0.173	23.06	1011.01
MS5803_01BA	4096	0.195	23.07	1010.99
MS5803_01BA	4096	0.216	23.07	1011.0
MS5803_01BA	4096	0.238	23.07	1011.01
MS5803_01BA	4096	0.26	23.08	1010.98
MS5803_01BA	4096	0.281	23.08	1010.97
MS5803_01BA	4096	0.303	23.09	1011.0
MS5803_01BA	4096	0.324	23.09	1011.0
MS5803_01BA	4096	0.346	23.1	1011.01
MS5803_01BA	4096	0.368	23.1	1011.01
MS5803_01BA	4096	0.389	23.1	1011.0
MS5803_01BA	4096	0.411	23.1	1011.01
MS5803_01BA	4096	0.432	23.11	1011.01
MS5803_01BA	4096	0.454	23.11	1011.01
MS5803_01BA	4096	0.476	23.11	1010.99
MS5803_01BA	4096	0.497	23.12	1011.0
MS5803_01BA	4096	0.519	23.12	1011.02
MS5803_01BA	4096	0.54	23.12	1011.01
MS5803_01BA	4096	0.562	23.12	1011.01
MS5803_01BA	4096	0.584	23.13	1011.01
MS5803_01BA	4096	0.606	23.13	1011.02
MS5803_01BA	4096	0.627	23.13	1011.02
MS5803_01BA	4096	0.649	23.13	1011.01
MS5803_01BA	4096	0.67	23.14	1011.0
MS5803_01BA	4096	0.692	23.14	1011.0
MS5803_01BA	4096	0.714	23.14	1011.0
MS5803_01BA	4096	0.735	23.14	1011.01
MS5803_01BA	4096	0.757	23.14	1011.0
MS5803_01BA	4096	0.779	23.15	1011.02
MS5803_01BA	4096	0.8	23.15	1011.01
MS5803_01BA	4096	0.822	23.15	1011.01
MS5803_01BA	4096	0.843	23.15	1011.02
MS5803_01BA	4096	0.865	23.15	1010.99
MS5803_01BA	4096	0.887	23.15	1010.99
MS5803_01BA	4096	0.908	23.16	1011.04
MS5803_01BA	4096	0.93	23.16	1011.01
MS5803_01BA	4096	0.951	23.16	1011.02
MS5803_01BA	4096	0.973	23.16	1011.0
MS5803_01BA	4096	0.995	23.16	1011.0
MS5803_01BA	4096	1.016	23.16	1011.0
MS5803_01BA	4096	1.038	23.16	1011.02
MS5803_01BA	4096	1.059	23.17	1011.03
MS5803_01BA	4096	1.081	23.17	1011.01
MS5803_01BA	4096	1.103	23.17	1011.0
MS5803_01BA	4096	1.124	23.17	1011.01
MS5803_01BA	4096	1.146	23.17	1011.02
MS5803_01BA	4096	1.167	23.17	1011.0
MS5803_01BA	4096	1.189	23.17	1011.02
MS5803_01BA	4096	1.211	23.17	1011.02
MS5803_01BA	4096	1.232	23.17	1011.0
MS5803_01BA	4096	1.254	23.17	1011.01
MS5803_01BA	4096	1.276	23.18	1011.01
MS5803_01BA	4096	1.297	23.18	1011.0
MS5803_01BA	4096	1.319	23.18	1011.0
MS5803_01BA	4096	1.34	23.18	1011.01
MS5803_01BA	4096	1.362	23.18	1011.0
MS5803_01BA	4096	1.384	23.18	1010.99
MS5803_01BA	4096	1.405	23.18	1011.0
MS5803_01BA	4096	1.427	23.18	1011.0
MS5803_01BA	4096	1.448	23.18	1011.0
MS5803_01BA	4096	1.47	23.18	1011.01
MS5803_01BA	4096	1.492	23.19	1011.0
MS5803_01BA	4096	1.513	23.19	1010.99
MS5803_01BA	4096	1.535	23.19	1011.01
MS5803_01BA	4096	1.556	23.19	1011.01
MS5803_01BA	4096	1.578	23.19	1010.98
MS5803_01BA	4096	1.6	23.19	1010.99
MS5803_01BA	4096	1.621	23.19	1011.01
MS5803_01BA	4096	1.643	23.19	1011.0
MS5803_01BA	4096	1.665	23.19	1010.99
MS5803_01BA	4096	1.686	23.2	1011.0
MS5803_01BA	4096	1.708	23.19	1011.04
MS5803_01BA	4096	1.729	23.2	1011.0
MS5803_01BA	4096	1.751	23.2	1011.0
MS5803_01BA	4096	1.773	23.2	1010.98
MS5803_01BA	4096	1.794	23.2	1011.01
MS5803_01BA	4096	1.816	23.2	1011.02
MS5803_01BA	4096	1.837	23.2	1011.0
MS5803_01BA	4096	1.859	23.2	1011.01
MS5803_01BA	4096	1.881	23.2	1010.99
MS5803_01BA	4096	1.902	23.2	1010.99
MS5803_01BA	4096	1.924	23.2	1011.01
MS5803_01BA	4096	1.945	23.2	1010.99
MS5803_01BA	4096	1.967	23.2	1011.0
MS5803_01BA	4096	1.989	23.2	1011.0
MS5803_01BA	4096	2.01	23.2	1011.01
MS5803_01BA	4096	2.032	23.2	1010.99
MS5803_01BA	4096	2.054	23.2	1011.0
MS5803_01BA	4096	2.075	23.2	1011.0
