sensor	oversampling	sec	temperature	pressure
HP206C	512	0.0	22.66	1003.57
HP206C	512	0.02	22.72	1003.71
HP206C	512	0.039	22.75	1003.84
HP206C	512	0.059	22.78	1003.75
HP206C	512	0.078	22.78	1003.83
HP206C	512	0.098	22.8	1003.99
HP206C	512	0.117	22.8	1003.8
HP206C	512	0.136	22.82	1003.97
HP206C	512	0.156	22.82	1003.83
HP206C	512	0.175	22.83	1003.92
HP206C	512	0.195	22.83	1003.93
HP206C	512	0.214	22.83	1003.91
HP206C	512	0.234	22.83	1003.81
HP206C	512	0.253	22.84	1003.9
HP206C	512	0.272	22.84	1003.95
HP206C	512	0.292	22.85	1004.02
HP206C	512	0.311	22.84	1003.83
HP206C	512	0.331	22.84	1003.82
HP206C	512	0.35	22.85	1003.95
HP206C	512	0.37	22.85	1003.92
HP206C	512	0.389	22.85	1003.81
HP206C	512	0.408	22.86	1003.93
HP206C	512	0.428	22.85	1003.88
HP206C	512	0.447	22.86	1003.68
HP206C	512	0.467	22.85	1003.97
HP206C	512	0.486	22.86	1003.75
HP206C	512	0.506	22.86	1003.87
HP206C	512	0.525	22.86	1004.05
HP206C	512	0.544	22.87	1003.84
HP206C	512	0.564	22.86	1003.86
HP206C	512	0.583	22.86	1003.9
HP206C	512	0.603	22.86	1003.82
HP206C	512	0.622	22.86	1003.9
HP206C	512	0.642	22.87	1003.75
HP206C	512	0.661	22.86	1003.68
HP206C	512	0.68	22.87	1003.88
HP206C	512	0.7	22.87	1003.8
HP206C	512	0.719	22.88	1003.98
HP206C	512	0.739	22.87	1003.89
HP206C	512	0.758	22.87	1003.86
HP206C	512	0.778	22.87	1003.75
HP206C	512	0.797	22.87	1003.61
HP206C	512	0.817	22.87	1003.89
HP206C	512	0.836	22.88	1004.09
HP206C	512	0.855	22.88	1003.75
HP206C	512	0.875	22.88	1003.79
HP206C	512	0.894	22.88	1003.91
HP206C	512	0.914	22.88	1004.01
HP206C	512	0.933	22.88	1003.88
HP206C	512	0.953	22.88	1003.95
HP206C	512	0.972	22.88	1003.68
HP206C	512	0.991	22.88	1003.77
HP206C	512	1.011	22.87	1003.97
HP206C	512	1.03	22.88	1003.87
HP206C	512	1.05	22.88	1003.8
HP206C	512	1.069	22.88	1003.87
HP206C	512	1.089	22.88	1003.92
HP206C	512	1.108	22.88	1003.75
HP206C	512	1.127	22.88	1003.8
HP206C	512	1.147	22.89	1003.86
HP206C	512	1.166	22.88	1003.96
HP206C	512	1.186	22.88	1003.85
HP206C	512	1.205	22.88	1003.8
HP206C	512	1.225	22.89	1003.86
HP206C	512	1.244	22.89	1003.7
HP206C	512	1.264	22.89	1003.84
HP206C	512	1.283	22.9	1004.06
HP206C	512	1.302	22.88	1003.85
HP206C	512	1.322	22.89	1003.87
HP206C	512	1.341	22.89	1003.85
HP206C	512	1.361	22.89	1003.98
HP206C	512	1.38	22.89	1004.04
HP206C	512	1.4	22.89	1003.9
HP206C	512	1.419	22.89	1003.83
HP206C	512	1.439	22.89	1003.77
HP206C	512	1.458	22.89	1003.97
HP206C	512	1.478	22.89	1003.87
HP206C	512	1.497	22.88	1003.75
HP206C	512	1.516	22.89	1003.88
HP206C	512	1.536	22.9	1003.97
HP206C	512	1.555	22.9	1003.89
HP206C	512	1.575	22.89	1003.81
HP206C	512	1.594	22.89	1003.96
HP206C	512	1.614	22.88	1003.91
HP206C	512	1.633	22.9	1003.81
HP206C	512	1.653	22.89	1004.04
HP206C	512	1.672	22.9	1003.93
HP206C	512	1.691	22.89	1003.71
HP206C	512	1.711	22.9	1003.72
HP206C	512	1.73	22.9	1003.72
HP206C	512	1.75	22.89	1004.0
HP206C	512	1.769	22.89	1004.06
HP206C	512	1.789	22.9	1003.78
HP206C	512	1.808	22.9	1003.88
HP206C	512	1.827	22.89	1003.87
HP206C	512	1.847	22.89	1003.93
HP206C	512	1.866	22.89	1003.77
HP206C	512	1.886	22.9	1003.84
HP206C	512	1.905	22.9	1003.83
HP206C	512	1.925	22.9	1003.88
HP206C	512	1.944	22.9	1003.8
HP206C	512	1.963	22.9	1004.01
HP206C	512	1.983	22.9	1003.85
HP206C	512	2.002	22.9	1003.88
HP206C	512	2.022	22.9	1003.8
HP206C	512	2.041	22.9	1003.81
HP206C	512	2.061	22.9	1003.86
HP206C	512	2.08	22.9	1003.93
HP206C	512	2.1	22.9	1003.77
HP206C	512	2.119	22.9	1004.01
HP206C	512	2.138	22.9	1003.85
HP206C	512	2.158	22.9	1003.76
HP206C	512	2.177	22.91	1004.05
HP206C	512	2.197	22.9	1003.76
HP206C	512	2.216	22.9	1003.99
HP206C	512	2.236	22.9	1003.91
HP206C	512	2.255	22.9	1004.04
HP206C	512	2.275	22.9	1004.01
HP206C	512	2.294	22.9	1003.86
HP206C	512	2.313	22.9	1003.8
HP206C	512	2.333	22.9	1003.96
HP206C	512	2.352	22.91	1003.94
HP206C	512	2.372	22.9	1003.8
HP206C	512	2.391	22.9	1003.85
HP206C	512	2.41	22.9	1003.89
HP206C	512	2.43	22.91	1003.82
HP206C	512	2.449	22.9	1003.85
HP206C	512	2.469	22.9	1003.77
HP206C	512	2.488	22.9	1003.93
HP206C	512	2.508	22.9	1003.94
HP206C	512	2.527	22.91	1004.0
HP206C	512	2.547	22.9	1003.88
HP206C	512	2.566	22.9	1003.99
HP206C	512	2.585	22.9	1003.88
HP206C	512	2.605	22.9	1003.96
HP206C	512	2.624	22.9	1003.88
HP206C	512	2.644	22.9	1003.94
HP206C	512	2.663	22.91	1003.98
HP206C	512	2.683	22.91	1004.08
HP206C	512	2.702	22.91	1003.83
HP206C	512	2.721	22.91	1003.91
HP206C	512	2.741	22.91	1004.05
HP206C	512	2.76	22.91	1004.05
HP206C	512	2.78	22.91	1003.89
HP206C	512	2.799	22.91	1003.78
HP206C	512	2.819	22.91	1003.92
HP206C	512	2.838	22.91	1003.97
HP206C	512	2.858	22.91	1003.98
HP206C	512	2.877	22.91	1003.74
HP206C	512	2.897	22.91	1003.98
HP206C	512	2.916	22.91	1003.83
HP206C	512	2.935	22.91	1003.79
HP206C	512	2.955	22.91	1003.97
HP206C	512	2.974	22.91	1003.94
HP206C	512	2.994	22.91	1003.93
HP206C	512	3.013	22.91	1003.84
HP206C	512	3.033	22.9	1003.93
HP206C	512	3.052	22.9	1003.94
HP206C	512	3.071	22.91	1003.82
HP206C	512	3.091	22.9	1003.97
HP206C	512	3.11	22.91	1003.76
HP206C	512	3.13	22.91	1003.82
HP206C	512	3.149	22.91	1003.81
HP206C	512	3.168	22.91	1003.65
HP206C	512	3.188	22.92	1003.88
HP206C	512	3.207	22.91	1003.84
HP206C	512	3.227	22.91	1003.8
HP206C	512	3.246	22.91	1003.83
HP206C	512	3.266	22.91	1003.8
HP206C	512	3.285	22.92	1003.86
HP206C	512	3.304	22.91	1003.91
HP206C	512	3.324	22.91	1003.79
HP206C	512	3.343	22.92	1003.84
HP206C	512	3.363	22.92	1003.85
HP206C	512	3.382	22.91	1003.75
HP206C	512	3.402	22.92	1003.91
HP206C	512	3.421	22.91	1003.75
HP206C	512	3.44	22.91	1003.88
HP206C	512	3.46	22.92	1003.72
HP206C	512	3.479	22.91	1003.87
HP206C	512	3.499	22.92	1003.75
HP206C	512	3.518	22.91	1003.9
HP206C	512	3.538	22.9	1003.85
HP206C	512	3.557	22.92	1003.83
HP206C	512	3.576	22.91	1003.74
HP206C	512	3.596	22.92	1003.83
HP206C	512	3.615	22.92	1003.8
HP206C	512	3.635	22.91	1004.02
HP206C	512	3.654	22.92	1003.93
HP206C	512	3.674	22.91	1004.04
HP206C	512	3.693	22.92	1003.67
HP206C	512	3.712	22.92	1003.73
HP206C	512	3.732	22.92	1004.0
HP206C	512	3.751	22.92	1003.75
HP206C	512	3.771	22.92	1003.81
HP206C	512	3.79	22.92	1004.02
HP206C	512	3.81	22.91	1003.93
HP206C	512	3.829	22.92	1003.88
HP206C	512	3.848	22.92	1003.83
HP206C	512	3.868	22.92	1003.75
HP206C	512	3.887	22.91	1003.85
HP206C	512	3.907	22.92	1003.67
HP206C	512	3.926	22.92	1003.76
HP206C	512	3.946	22.92	1003.72
HP206C	512	3.965	22.92	1003.9
HP206C	512	3.984	22.93	1003.93
HP206C	512	4.004	22.93	1003.77
HP206C	512	4.023	22.93	1003.82
HP206C	512	4.043	22.93	1003.85
HP206C	512	4.062	22.93	1004.04
HP206C	512	4.082	22.93	1003.85
HP206C	512	4.101	22.92	1003.79
HP206C	512	4.12	22.92	1003.78
HP206C	512	4.14	22.92	1004.08
HP206C	512	4.159	22.92	1004.05
HP206C	512	4.179	22.92	1003.87
HP206C	512	4.198	22.92	1004.08
HP206C	512	4.218	22.92	1003.82
HP206C	512	4.237	22.92	1003.87
HP206C	512	4.256	22.92	1004.01
HP206C	512	4.276	22.92	1003.89
HP206C	512	4.295	22.92	1004.01
HP206C	512	4.315	22.92	1003.9
HP206C	512	4.334	22.92	1003.77
HP206C	512	4.354	22.92	1003.93
HP206C	512	4.373	22.93	1003.87
HP206C	512	4.393	22.92	1003.77
HP206C	512	4.412	22.92	1003.89
HP206C	512	4.432	22.92	1003.72
HP206C	512	4.451	22.93	1003.95
HP206C	512	4.47	22.92	1003.77
HP206C	512	4.49	22.92	1003.68
HP206C	512	4.509	22.92	1004.03
HP206C	512	4.529	22.92	1003.77
HP206C	512	4.548	22.93	1003.72
HP206C	512	4.568	22.92	1003.82
HP206C	512	4.587	22.92	1003.86
HP206C	512	4.606	22.93	1003.96
HP206C	512	4.626	22.93	1004.04
HP206C	512	4.645	22.93	1003.91
HP206C	512	4.665	22.93	1003.89
HP206C	512	4.684	22.92	1003.86
HP206C	512	4.704	22.93	1004.05
HP206C	512	4.723	22.92	1003.98
HP206C	512	4.742	22.93	1003.9
HP206C	512	4.762	22.92	1003.75
HP206C	512	4.781	22.92	1003.81
HP206C	512	4.801	22.93	1004.04
HP206C	512	4.82	22.94	1003.89
HP206C	512	4.84	22.93	1003.96
HP206C	512	4.859	22.92	1003.82
HP206C	512	4.878	22.93	1003.9
HP206C	512	4.898	22.93	1003.78
HP206C	512	4.917	22.93	1003.77
HP206C	512	4.937	22.93	1003.87
HP206C	512	4.956	22.93	1003.88
HP206C	512	4.976	22.93	1003.86
HP206C	512	4.995	22.93	1003.77
MS5803_01BA	512	0.0	22.96	1011.02
MS5803_01BA	512	0.006	22.95	1011.04
MS5803_01BA	512	0.012	22.95	1011.06
MS5803_01BA	512	0.018	22.95	1010.99
MS5803_01BA	512	0.024	22.95	1010.99
MS5803_01BA	512	0.03	22.96	1011.02
MS5803_01BA	512	0.035	22.97	1010.96
MS5803_01BA	512	0.041	22.96	1011.03
MS5803_01BA	512	0.047	22.96	1011.08
MS5803_01BA	512	0.053	22.96	1010.95
MS5803_01BA	512	0.059	22.97	1011.05
MS5803_01BA	512	0.065	22.96	1011.03
MS5803_01BA	512	0.07	22.96	1011.0
MS5803_01BA	512	0.076	22.97	1010.98
MS5803_01BA	512	0.082	22.97	1011.01
MS5803_01BA	512	0.088	22.98	1011.0
MS5803_01BA	512	0.094	22.97	1011.01
MS5803_01BA	512	0.1	22.97	1011.02
MS5803_01BA	512	0.106	22.97	1010.99
MS5803_01BA	512	0.111	22.97	1010.99
MS5803_01BA	512	0.117	22.98	1010.98
MS5803_01BA	512	0.123	22.97	1010.96
MS5803_01BA	512	0.129	22.98	1011.03
MS5803_01BA	512	0.135	22.98	1010.98
MS5803_01BA	512	0.141	22.98	1011.03
MS5803_01BA	512	0.147	22.98	1011.0
MS5803_01BA	512	0.153	22.98	1010.96
MS5803_01BA	512	0.158	22.98	1010.98
MS5803_01BA	512	0.164	22.98	1011.02
MS5803_01BA	512	0.17	22.97	1010.92
MS5803_01BA	512	0.176	22.98	1010.95
MS5803_01BA	512	0.182	22.98	1010.98
MS5803_01BA	512	0.188	22.98	1011.01
MS5803_01BA	512	0.194	22.97	1010.94
MS5803_01BA	512	0.199	22.98	1010.97
MS5803_01BA	512	0.205	22.98	1011.02
MS5803_01BA	512	0.211	22.99	1011.0
MS5803_01BA	512	0.217	22.98	1010.97
MS5803_01BA	512	0.223	22.98	1010.99
MS5803_01BA	512	0.229	22.99	1010.98
MS5803_01BA	512	0.235	22.98	1011.02
MS5803_01BA	512	0.24	22.98	1010.97
MS5803_01BA	512	0.246	22.98	1011.02
MS5803_01BA	512	0.252	22.98	1011.04
MS5803_01BA	512	0.258	22.99	1010.97
MS5803_01BA	512	0.264	22.98	1010.99
MS5803_01BA	512	0.27	22.99	1011.01
MS5803_01BA	512	0.276	22.99	1010.98
MS5803_01BA	512	0.281	22.99	1011.0
MS5803_01BA	512	0.287	22.99	1010.95
MS5803_01BA	512	0.293	22.99	1010.96
MS5803_01BA	512	0.299	22.99	1010.97
MS5803_01BA	512	0.305	22.99	1010.96
MS5803_01BA	512	0.311	22.99	1010.96
MS5803_01BA	512	0.317	22.99	1011.04
MS5803_01BA	512	0.322	22.99	1010.97
MS5803_01BA	512	0.328	23.0	1011.02
MS5803_01BA	512	0.334	22.99	1011.01
MS5803_01BA	512	0.34	23.0	1011.02
MS5803_01BA	512	0.346	23.0	1011.02
MS5803_01BA	512	0.352	23.0	1010.99
MS5803_01BA	512	0.358	23.0	1011.02
MS5803_01BA	512	0.363	23.0	1010.99
MS5803_01BA	512	0.369	22.99	1010.98
MS5803_01BA	512	0.375	22.99	1010.96
MS5803_01BA	512	0.381	23.0	1011.04
MS5803_01BA	512	0.387	23.0	1011.0
MS5803_01BA	512	0.393	22.99	1010.98
MS5803_01BA	512	0.399	23.0	1010.97
MS5803_01BA	512	0.404	23.01	1010.98
MS5803_01BA	512	0.41	22.99	1010.96
MS5803_01BA	512	0.416	23.0	1010.97
MS5803_01BA	512	0.422	23.0	1010.97
MS5803_01BA	512	0.428	23.0	1010.97
MS5803_01BA	512	0.434	23.01	1010.98
MS5803_01BA	512	0.44	23.0	1011.08
MS5803_01BA	512	0.445	23.0	1010.97
MS5803_01BA	512	0.451	23.01	1010.96
MS5803_01BA	512	0.457	23.01	1010.98
MS5803_01BA	512	0.463	23.01	1011.02
MS5803_01BA	512	0.469	23.01	1011.04
MS5803_01BA	512	0.475	23.0	1010.97
MS5803_01BA	512	0.481	23.0	1010.91
MS5803_01BA	512	0.487	23.01	1010.98
MS5803_01BA	512	0.492	23.01	1011.03
MS5803_01BA	512	0.498	23.0	1010.9
MS5803_01BA	512	0.504	23.01	1010.99
MS5803_01BA	512	0.51	23.01	1011.03
MS5803_01BA	512	0.516	23.01	1010.93
MS5803_01BA	512	0.522	23.01	1010.99
MS5803_01BA	512	0.528	23.01	1011.01
MS5803_01BA	512	0.533	23.01	1011.02
MS5803_01BA	512	0.539	23.0	1011.0
MS5803_01BA	512	0.545	23.01	1011.0
MS5803_01BA	512	0.551	23.01	1011.08
MS5803_01BA	512	0.557	23.01	1011.02
MS5803_01BA	512	0.563	23.01	1010.97
MS5803_01BA	512	0.569	23.01	1010.99
MS5803_01BA	512	0.574	23.01	1011.02
MS5803_01BA	512	0.58	23.01	1010.99
MS5803_01BA	512	0.586	23.01	1010.9
MS5803_01BA	512	0.592	23.01	1010.97
MS5803_01BA	512	0.598	23.01	1010.91
MS5803_01BA	512	0.604	23.02	1011.01
MS5803_01BA	512	0.61	23.01	1010.97
MS5803_01BA	512	0.615	23.01	1011.0
MS5803_01BA	512	0.621	23.01	1011.0
MS5803_01BA	512	0.627	23.01	1010.99
MS5803_01BA	512	0.633	23.01	1010.99
MS5803_01BA	512	0.639	23.01	1011.03
MS5803_01BA	512	0.645	23.01	1010.95
MS5803_01BA	512	0.651	23.02	1010.96
MS5803_01BA	512	0.657	23.02	1010.98
MS5803_01BA	512	0.662	23.02	1010.98
MS5803_01BA	512	0.668	23.02	1011.01
MS5803_01BA	512	0.674	23.02	1010.96
MS5803_01BA	512	0.68	23.02	1011.01
MS5803_01BA	512	0.686	23.02	1011.06
MS5803_01BA	512	0.692	23.02	1010.96
MS5803_01BA	512	0.698	23.03	1011.01
MS5803_01BA	512	0.703	23.02	1010.99
MS5803_01BA	512	0.709	23.01	1010.97
MS5803_01BA	512	0.715	23.03	1011.03
MS5803_01BA	512	0.721	23.02	1010.99
MS5803_01BA	512	0.727	23.02	1011.01
MS5803_01BA	512	0.733	23.02	1011.01
MS5803_01BA	512	0.738	23.02	1011.01
MS5803_01BA	512	0.744	23.02	1010.98
MS5803_01BA	512	0.75	23.02	1011.01
MS5803_01BA	512	0.756	23.02	1011.01
MS5803_01BA	512	0.762	23.01	1011.0
MS5803_01BA	512	0.768	23.02	1011.11
MS5803_01BA	512	0.774	23.01	1010.97
MS5803_01BA	512	0.78	23.02	1010.96
MS5803_01BA	512	0.785	23.01	1010.95
MS5803_01BA	512	0.791	23.02	1010.98
MS5803_01BA	512	0.797	23.02	1010.96
MS5803_01BA	512	0.803	23.02	1011.02
MS5803_01BA	512	0.809	23.02	1010.98
MS5803_01BA	512	0.815	23.02	1010.99
MS5803_01BA	512	0.821	23.02	1010.96
MS5803_01BA	512	0.826	23.02	1011.01
MS5803_01BA	512	0.832	23.02	1010.96
MS5803_01BA	512	0.838	23.02	1011.02
MS5803_01BA	512	0.844	23.02	1010.96
MS5803_01BA	512	0.85	23.02	1010.98
MS5803_01BA	512	0.856	23.03	1011.1
MS5803_01BA	512	0.862	23.02	1011.02
MS5803_01BA	512	0.868	23.02	1010.96
MS5803_01BA	512	0.874	23.02	1010.96
MS5803_01BA	512	0.88	23.02	1010.96
MS5803_01BA	512	0.885	23.03	1010.97
MS5803_01BA	512	0.891	23.02	1010.96
MS5803_01BA	512	0.897	23.02	1011.02
MS5803_01BA	512	0.903	23.02	1010.99
MS5803_01BA	512	0.909	23.02	1011.02
MS5803_01BA	512	0.915	23.02	1010.98
MS5803_01BA	512	0.921	23.02	1010.91
MS5803_01BA	512	0.926	23.02	1010.96
MS5803_01BA	512	0.932	23.03	1011.01
MS5803_01BA	512	0.938	23.03	1011.03
MS5803_01BA	512	0.944	23.02	1010.96
MS5803_01BA	512	0.95	23.02	1011.02
MS5803_01BA	512	0.956	23.03	1010.97
MS5803_01BA	512	0.962	23.03	1010.97
MS5803_01BA	512	0.967	23.03	1011.05
MS5803_01BA	512	0.973	23.03	1011.03
MS5803_01BA	512	0.979	23.03	1011.03
MS5803_01BA	512	0.985	23.03	1011.0
MS5803_01BA	512	0.991	23.02	1010.99
MS5803_01BA	512	0.997	23.03	1010.95
MS5803_01BA	512	1.003	23.03	1011.03
MS5803_01BA	512	1.009	23.03	1010.98
MS5803_01BA	512	1.014	23.03	1010.98
MS5803_01BA	512	1.02	23.03	1011.09
MS5803_01BA	512	1.026	23.03	1010.97
MS5803_01BA	512	1.032	23.03	1010.97
MS5803_01BA	512	1.038	23.03	1011.01
MS5803_01BA	512	1.044	23.03	1011.0
MS5803_01BA	512	1.05	23.03	1011.0
MS5803_01BA	512	1.055	23.03	1010.96
MS5803_01BA	512	1.061	23.03	1011.01
MS5803_01BA	512	1.067	23.03	1011.0
MS5803_01BA	512	1.073	23.03	1010.92
MS5803_01BA	512	1.079	23.03	1011.03
MS5803_01BA	512	1.085	23.03	1010.98
MS5803_01BA	512	1.091	23.03	1010.93
MS5803_01BA	512	1.096	23.03	1010.97
MS5803_01BA	512	1.102	23.03	1010.97
MS5803_01BA	512	1.108	23.03	1011.03
MS5803_01BA	512	1.114	23.03	1010.95
MS5803_01BA	512	1.12	23.03	1010.98
MS5803_01BA	512	1.126	23.03	1010.98
MS5803_01BA	512	1.132	23.03	1010.96
MS5803_01BA	512	1.137	23.04	1010.99
MS5803_01BA	512	1.143	23.03	1011.0
MS5803_01BA	512	1.149	23.04	1010.99
MS5803_01BA	512	1.155	23.04	1011.02
MS5803_01BA	512	1.161	23.04	1010.94
MS5803_01BA	512	1.167	23.04	1010.99
MS5803_01BA	512	1.173	23.03	1010.98
MS5803_01BA	512	1.178	23.03	1010.98
MS5803_01BA	512	1.184	23.03	1010.98
MS5803_01BA	512	1.19	23.04	1011.02
MS5803_01BA	512	1.196	23.03	1010.98
MS5803_01BA	512	1.202	23.03	1010.98
